id,room,toilet,area,x,y,khoang_cach,quan,polistic,furniture,direct,direct2,price,n_hospital
2882,3,2,90,21.04956627,105.778595,2.69,Nam Tu Liem,so do,cao cap,Bac,Nam,43.88888889,1
2883,3,2,90.1,20.97639847,105.8145752,6.73,Tay Ho,so do,day du,Dong - Nam,Dong - Bac,39.84461709,1
2884,2,1,58,21.07865143,105.8026123,3.58,Hoang Mai,so do,day du,Bac,Nam,44.82758621,0
2885,3,2,103.8,21.05967522,105.8040771,1.68,Nam Tu Liem,so do,day du,Nam,Bac,46.24277457,2
2886,2,1,55,20.99927711,105.7381134,7.96,Thanh Xuan,so do,co ban,Dong - Bac,Tay - Nam,41.09090909,0
2887,2,1,81,21.04015923,105.7613144,4.35,Bac Tu Liem,so do,day du,Tay - Nam,Dong - Bac,49.38271605,1
2888,3,3,181,21.00695801,105.8010788,3.61,Gia Lam,so do,cao cap,Tay - Bac,Dong - Nam,45,3
2889,3,2,86,21.0322113,105.7996979,1.18,Long Bien,so do,day du,Dong - Bac,Tay - Nam,56.97674419,1
2890,2,2,70,20.98434067,105.7768097,6.49,Long Bien,so do,co ban,Dong - Bac,Tay - Nam,37.85714286,3
2891,3,2,86,21.0322113,105.7996979,1.18,Nam Tu Liem,so do,day du,Dong - Bac,Tay - Nam,56.97674419,1
2892,2,2,70,20.98434067,105.7768097,6.49,Tay Ho,so do,co ban,Dong - Bac,Tay - Nam,37.85714286,3
2893,3,2,89,20.99069977,105.8142776,5.31,Nam Tu Liem,so do,day du,Bac,Dong - Nam,47.19101124,2
2894,2,1,70,20.97347069,105.8258286,7.26,Vi Thanh,so do,day du,Tay - Bac,Dong - Nam,35.71428571,0
2895,2,1,70,20.97347069,105.8258286,7.26,Nam Tu Liem,so do,day du,Tay - Bac,Dong - Nam,35.71428571,0
2896,3,2,85,21.06909752,105.8880386,8.73,Ba Dinh,hdmb,day du,Tay - Bac,Dong - Nam,25.88235294,2
2897,3,2,107,20.98337555,105.7835312,6.32,Ha Dong,so do,day du,Dong - Nam,Tay - Bac,38.31775701,3
2898,2,2,133,21.03004456,105.7766266,3.09,Nam Tu Liem,so do,day du,Nam,Bac,30.07518797,0
2899,3,2,105,20.95876884,105.8463135,9.39,Hoang Mai,so do,co ban,Dong - Nam,Dong - Nam,34.28571429,2
2900,3,2,133,20.99751663,105.795166,4.64,Nam Tu Liem,so do,day du,Dong - Nam,Tay - Bac,23.30827068,4
2901,2,2,81,20.9952507,105.7844086,5.18,Nam Tu Liem,so do,day du,Tay - Bac,Dong - Nam,29.62962963,1
2902,3,2,105,21.03656769,105.7604828,4.47,Nam Tu Liem,so do,co ban,Tay - Nam,Dong - Bac,50.47619048,1
2903,2,2,70,20.95020294,105.791069,9.37,Ha Dong,so do,day du,Dong - Nam,Tay - Bac,22.57142857,1
2904,3,2,133,21.03004456,105.7766266,3.09,Nam Tu Liem,so do,co ban,Nam,Bac,33.08270677,0
2905,2,2,86.8,21.05967522,105.8040771,1.68,Tay Ho,so do,day du,Dong,Tay,41.47465438,2
2906,2,2,70,20.97602463,105.7615967,7.96,Ha Dong,so do,day du,Tay - Bac,Tay - Nam,27.14285714,1
2907,3,2,85,21.06510162,105.8886566,8.68,Long Bien,hdmb,day du,Tay - Bac,Dong - Nam,25.88235294,2
2908,3,2,126,20.99964523,105.7993851,4.36,Thanh Xuan,so do,co ban,Dong - Nam,Dong - Bac,26.98412698,5
2909,2,1,47,20.96473503,105.8263626,8.11,Hoang Mai,hdmb,co ban,Tay - Nam,Dong - Bac,25.53191489,1
2910,3,2,90,21.04956627,105.778595,2.69,Bac Tu Liem,so do,cao cap,Bac,Nam,43.88888889,1
2911,3,2,90.1,20.97639847,105.8145752,6.73,Hoang Mai,so do,day du,Dong - Nam,Dong - Bac,39.84461709,1
2912,2,1,58,21.07865143,105.8026123,3.58,Tay Ho,so do,day du,Bac,Nam,44.82758621,0
2913,3,2,103.8,21.05967522,105.8040771,1.68,Tay Ho,so do,day du,Nam,Bac,46.24277457,2
2914,2,1,55,20.99927711,105.7381134,7.96,Nam Tu Liem,so do,co ban,Dong - Bac,Tay - Nam,41.09090909,0
2915,2,1,81,21.04015923,105.7613144,4.35,Nam Tu Liem,so do,day du,Tay - Nam,Dong - Bac,49.38271605,1
2916,3,3,181,21.00695801,105.8010788,3.61,Cau Giay,so do,cao cap,Tay - Bac,Dong - Nam,45,3
