id,room,area,toilet,x,y,khoang_cach,n_hospital,Price_pred
932,3,85.0,2,21.06510162,105.8886566,8.68,2,55.0
4215,2,64.0,2,21.00885201,105.7439194,6.97,0,17.92207792
6457,2,83.0,2,20.99433327,105.8675613,7.94,0,40.223880595000004
225,2,45.0,1,20.97776985,105.836113,7.23,1,40.986842105
46,2,63.0,2,21.0024147,105.9641113,16.45,0,54.603104906521736
164,3,137.0,2,20.98651886,105.7863998,5.93,1,43.75
6551,2,55.0,2,20.98554039,105.7989426,5.77,2,43.788138194999995
6647,3,164.0,2,21.00557899,105.8037491,3.74,3,29.22590837
2515,2,63.5,1,20.95438957,105.7445679,10.7,0,24.583333330000002
6889,2,91.0,2,20.97332001,105.7782822,7.45,4,77.91666666666667
7924,2,71.0,2,20.95890427,105.8381805,9.04,2,39.39774575516129
8182,2,68.0,2,20.99835014,105.806366,4.46,4,16.77083333
1310,3,95.0,2,20.97447205,105.7608795,8.13,1,41.640625
4289,4,203.0,2,21.02097893,105.7910614,2.58,2,25.99747475
8539,3,130.0,2,20.99993896,105.8363724,5.34,3,30.0
9836,3,135.0,3,21.00048828,105.8071594,4.25,4,46.645299145
1863,3,94.0,2,21.03272629,105.753746,5.2,1,25.99747475
4459,3,90.0,2,20.97309303,105.8383713,7.75,1,33.6036036
1000,2,67.0,2,21.03512001,105.7674332,3.81,0,46.611893584444445
5954,3,99.0,2,21.08234978,105.8717575,7.78,0,52.69071193
985,3,126.0,2,20.99069977,105.8142776,5.31,2,46.07843137
7406,4,156.0,2,20.9934864,105.8069077,4.95,5,22.53968254
7807,3,125.0,2,21.00896263,105.793129,3.59,2,49.0
4471,3,96.8,2,21.00968742,105.7215958,8.95,0,24.418604649999995
59,1,47.0,1,21.00885201,105.7439194,6.97,0,41.72517672812501
6814,1,31.0,1,21.0024147,105.9641113,16.45,0,29.428571427999998
345,3,101.0,2,20.97309303,105.8383713,7.75,1,33.290322582
7169,2,61.0,1,21.07024574,105.7914734,3.04,1,30.0
1900,1,31.0,1,21.0024147,105.9641113,16.45,0,39.30401416727273
7357,3,115.0,2,21.01743507,105.7803955,3.52,0,39.87341772
1615,3,119.6,2,21.00557899,105.8037491,3.74,3,27.70053476
3795,2,62.0,2,20.98009872,105.8742447,9.37,0,28.02359882
