id,room,toilet,area,x,y,khoang_cach,quan,polistic,furniture,direct,direct2,price,n_hospital
7077,3,2,124,21.01941681,105.8168793,2.65,Ba Dinh,so do,day du,Dong - Bac,Tay - Bac,88.70967742,2
7969,2,2,77,21.0307312,105.7613297,4.51,Nam Tu Liem,so do,day du,Dong - Bac,Tay - Nam,38.96103896,1
9139,1,1,29,21.00522614,105.7389145,7.58,Nam Tu Liem,so do,day du,Dong - Nam,Tay - Bac,51.37931034,0
2195,2,1,43.5,21.0024147,105.9641113,16.45,Gia Lam,so do,day du,Dong - Nam,Tay - Bac,31.03448276,0
9471,4,5,320,21.03445816,105.7696533,3.61,Nam Tu Liem,so do,day du,Dong - Bac,Tay - Nam,87.5,0
1022,2,2,88,20.96345901,105.762764,8.99,Ha Dong,so do,day du,Dong - Bac,Tay - Bac,31.81818182,2
4213,2,2,105,21.02941132,105.7687531,3.84,Cau Giay,so do,day du,Nam,Bac,54.28571429,0
9079,2,2,81,21.04015923,105.7613144,4.35,Nam Tu Liem,so do,cao cap,Tay - Nam,Dong - Bac,46.91358025,1
8740,2,2,62,21.03158569,105.7604523,4.57,Nam Tu Liem,so do,day du,Dong,Tay,40.32258065,1
158,2,2,63.86,21.00580597,105.7943726,3.85,Cau Giay,so do,day du,Dong - Nam,Tay - Bac,62.63701848,2
9043,2,2,68,21.0024147,105.9641113,16.45,Gia Lam,so do,day du,Dong - Nam,Tay - Bac,27.20588235,0
3218,2,1,55,20.97661018,105.7615204,7.91,Nam Tu Liem,so do,day du,Tay - Nam,Dong - Bac,38.18181818,1
2264,2,2,66,20.99657822,105.8651962,7.62,Bac Tu Liem,so do,day du,Nam,Bac,63.63636364,0
4738,2,2,65,20.973291,105.82001,7.13,Hoang Mai,so do,day du,Tay - Bac,Dong - Nam,26.15384615,0
6180,2,2,69,21.01188278,105.7864456,3.6,Nam Tu Liem,so do,nguyen_ban,Dong - Nam,Dong - Nam,47.82608696,2
3837,2,2,80,20.99657822,105.8651962,7.62,Hai Ba Trung,so do,cao cap,Nam,Bac,60,0
4294,2,2,70,21.05967522,105.8040771,1.68,Tay Ho,so do,day du,Bac,Nam,47.14285714,2
9409,1,1,25,21.01490355,105.8297206,3.76,Dong Da,so do,day du,Nam,Bac,24,2
